Datetime,UKREIS,UJAHR,UMONAT,UWOCHENTAG,USTUNDE,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,ULICHTVERH,STRZUSTAND,longitude,latitude,Stadtteil,Ortsteil,Datetime
2016-04-01,11,2016,4,2,8,3,5,3,1,1,0,0,0,0,0,1,8.675242819,53.173603239,Burglesum,St.Magnus,2016-4
2016-03-01,12,2016,3,2,14,3,6,7,1,0,1,0,0,0,0,0,8.590812933,53.537200531,Geestemünde,Geestemünde-Nord,2016-3
2016-04-01,11,2016,4,1,23,3,0,1,1,0,0,0,0,0,2,0,8.848026556,53.050935324,Obervieland,Habenhausen,2016-4
2016-03-01,11,2016,3,4,8,3,5,3,1,1,0,0,0,0,0,0,8.812179567,53.07909368,Mitte,Bahnhofsvorstadt,2016-3
2016-04-01,11,2016,4,1,18,3,5,3,1,1,0,0,0,0,0,0,8.845333518,53.091101644,Schwachhausen,Neu-Schwachhausen,2016-4
2016-03-01,11,2016,3,4,13,3,5,3,1,1,0,0,0,0,0,0,8.838011301,53.067867077,Östliche Vorstadt,Peterswerder,2016-3
2016-04-01,11,2016,4,1,14,3,4,6,1,0,0,0,0,0,0,0,8.837167228,53.107344156,Horn-Lehe,Lehe,2016-4
2016-04-01,11,2016,4,1,19,3,5,3,1,1,0,0,0,0,0,0,8.75838678,53.057058776,Huchting,Grolland,2016-4
2016-04-01,11,2016,4,2,16,3,5,3,1,1,0,0,0,0,0,0,8.86427579,53.098198005,Horn-Lehe,Horn,2016-4
2016-03-01,11,2016,3,3,18,3,5,3,1,1,0,0,0,0,0,1,8.808939254,53.083176242,Mitte,Bahnhofsvorstadt,2016-3
2016-03-01,11,2016,3,4,16,2,0,1,1,0,0,0,0,0,0,0,8.901800849,53.075077333,Hemelingen,Sebaldsbrück,2016-3
2016-03-01,11,2016,3,5,11,3,0,1,1,0,0,0,0,0,0,0,8.772738675,53.100526259,Walle,Überseestadt,2016-3
2016-04-01,11,2016,4,1,20,2,0,1,1,0,0,0,0,0,2,0,8.703137511,53.162087334,Burglesum,Burgdamm,2016-4
2016-03-01,11,2016,3,7,19,3,5,3,1,0,0,0,0,1,2,0,8.932752082,53.065173404,Osterholz,Ellenerbrok-Schevemoor,2016-3
2016-04-01,11,2016,4,4,16,3,5,3,1,1,0,0,0,0,0,0,8.717234463,53.172910747,Burglesum,Burgdamm,2016-4
2016-03-01,11,2016,3,3,8,3,5,3,1,1,0,0,0,0,0,1,8.802333186,53.090763669,Findorff,Findorff-Bürgerweide,2016-3
