,UKREIS,UJAHR,UMONAT,UWOCHENTAG,USTUNDE,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,ULICHTVERH,STRZUSTAND,longitude,latitude,Stadtteil,Ortsteil,geometry
59,11,2016,2,6,12,2,0,7,1,0,1,0,0,0,0,0,8.786693355,53.100470299,Walle,Walle,POINT (8.786693355000001 53.100470299)
60,11,2016,2,4,7,3,5,3,1,1,0,0,0,0,0,0,8.901179522,53.089461124,,,POINT (8.901179522 53.089461124)
61,11,2016,2,7,19,3,5,3,1,1,0,0,0,0,2,1,8.686075634,53.173352599,Burglesum,Lesum,POINT (8.686075634 53.173352599)
62,11,2016,2,4,12,3,6,4,1,0,1,0,0,0,0,0,8.78068495,53.098041666,Walle,Walle,POINT (8.780684949999999 53.098041666)
63,11,2016,1,6,16,3,0,1,1,0,0,0,0,0,0,1,8.802416094,53.067476752,Neustadt,Buntentor,POINT (8.802416094 53.067476752)
64,11,2016,2,6,5,3,5,3,1,1,0,0,0,0,2,0,8.777148222,53.095924799,Walle,Steffensweg,POINT (8.777148221999999 53.095924799)
65,11,2016,2,5,16,3,5,3,1,1,0,0,0,0,0,0,8.776486232,53.096881165,Walle,Steffensweg,POINT (8.776486232 53.096881165)
66,11,2016,2,6,18,3,0,1,1,0,0,0,0,0,2,1,8.830751259,53.07146958,Östliche Vorstadt,Steintor,POINT (8.830751258999999 53.07146958)
67,11,2016,3,3,11,3,5,3,1,1,0,0,0,0,0,0,8.821304602,53.072757536,Mitte,Ostertor,POINT (8.821304602 53.072757536)
68,11,2016,2,2,12,3,0,3,1,1,0,0,0,0,0,0,8.738950924,53.047743835,Huchting,Kirchhuchting,POINT (8.738950923999999 53.047743835)
69,11,2016,2,4,8,3,5,3,1,1,0,0,0,0,0,2,8.857928574,53.082487117,Vahr,Gartenstadt Vahr,POINT (8.857928574000001 53.082487117)
70,11,2016,2,3,22,3,5,2,1,1,0,0,0,0,2,1,8.813025515,53.080937415,Mitte,Bahnhofsvorstadt,POINT (8.813025515 53.080937415)
71,11,2016,2,4,9,2,3,6,1,0,0,0,0,0,0,0,8.870205464,53.09772992,Horn-Lehe,Horn,POINT (8.870205464 53.09772992)
72,12,2016,2,3,17,3,0,1,1,0,0,0,0,0,2,0,8.589619577,53.564823316,Lehe,Königsheide,POINT (8.589619577000001 53.564823316)
73,11,2016,2,5,15,3,5,3,1,1,0,0,0,0,0,0,8.804633991,53.085786331,Mitte,Bahnhofsvorstadt,POINT (8.804633990999999 53.085786331)
74,11,2016,3,6,8,3,0,7,1,0,0,0,0,0,0,0,8.880867902,53.076783503,Vahr,Neue Vahr Südwest,POINT (8.880867902 53.076783503)
75,11,2016,1,6,22,2,0,7,1,0,0,0,0,0,2,1,8.906857949,53.126436753,,Borgfeld,POINT (8.906857949000001 53.126436753)
76,11,2016,2,4,17,3,0,4,1,0,1,0,0,0,2,1,8.802188515,53.067615068,Neustadt,Buntentor,POINT (8.802188514999999 53.067615068)
77,11,2016,3,3,9,3,5,3,1,1,0,0,0,0,0,0,8.827755375,53.068842158,Östliche Vorstadt,Steintor,POINT (8.827755375000001 53.068842158)
78,11,2016,2,1,18,3,4,2,1,1,0,0,0,0,2,0,8.763508815,53.108928882,Gröpelingen,Lindenhof,POINT (8.763508815 53.108928882)
79,11,2016,2,3,14,3,1,5,1,1,0,0,0,0,0,0,8.836513966,53.083255328,Schwachhausen,Schwachhausen,POINT (8.836513966 53.083255328)
80,11,2016,2,4,18,3,5,3,1,1,0,0,0,0,2,1,8.794903222,53.093939896,Walle,Utbremen,POINT (8.794903222 53.093939896)
81,11,2016,2,3,8,3,5,3,1,1,0,0,0,0,0,0,8.867779119,53.072669373,Hemelingen,Hastedt,POINT (8.867779119 53.072669373)
82,11,2016,3,3,15,3,1,5,1,1,0,0,0,0,0,0,8.818860382,53.051219782,Neustadt,Huckelriede,POINT (8.818860382 53.051219782)
83,11,2016,2,4,18,2,5,2,1,1,0,0,0,0,2,1,8.767135232,53.111737521,Gröpelingen,Lindenhof,POINT (8.767135231999999 53.111737521)
84,11,2016,1,4,7,3,5,3,1,1,0,0,0,0,2,1,8.936343896,53.073735697,Osterholz,Ellenerbrok-Schevemoor,POINT (8.936343896 53.073735697)
85,11,2016,2,2,17,3,5,3,1,1,0,0,0,0,0,0,8.951210891,53.06508168,Osterholz,Tenever,POINT (8.951210891000001 53.06508168)
86,12,2016,1,5,7,3,5,3,1,1,0,0,0,0,2,0,8.586609738,53.566366821,Lehe,Königsheide,POINT (8.586609738 53.566366821)
87,11,2016,2,2,16,3,6,4,1,0,1,0,0,0,0,1,8.852274825,53.086008941,Schwachhausen,Radio Bremen,POINT (8.852274825 53.086008941)
88,11,2016,1,4,18,3,5,2,1,1,0,0,0,0,2,1,8.888109857,53.066530225,Hemelingen,Sebaldsbrück,POINT (8.888109857 53.066530225)
89,11,2016,2,2,12,2,5,3,1,1,0,0,0,0,0,1,8.81735424,53.098377297,Findorff,Weidedamm,POINT (8.81735424 53.098377297)
90,11,2016,1,4,14,3,5,3,1,1,0,0,0,0,0,0,8.905480416,53.050590435,Hemelingen,Hemelingen,POINT (8.905480416 53.050590435)
91,11,2016,2,4,9,3,5,3,1,1,0,0,0,0,0,1,8.847364511,53.085028286,Schwachhausen,Schwachhausen,POINT (8.847364511 53.085028286)
92,11,2016,2,2,18,3,5,3,1,1,0,0,0,0,0,1,8.793428594,53.073917887,Neustadt,Alte Neustadt,POINT (8.793428594 53.073917887)
93,11,2016,3,3,7,3,5,3,1,1,0,0,0,0,0,0,8.828852192,53.041836089,Obervieland,Kattenturm,POINT (8.828852191999999 53.041836089)
94,12,2016,1,3,13,3,6,7,1,0,1,0,0,0,0,0,8.584653316,53.556711339,Lehe,Königsheide,POINT (8.584653316000001 53.556711339)
95,11,2016,3,4,7,3,5,3,1,1,0,0,0,0,1,1,8.80653592,53.087287949,Findorff,Findorff-Bürgerweide,POINT (8.80653592 53.087287949)
