,UKREIS,UJAHR,UMONAT,UWOCHENTAG,USTUNDE,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,ULICHTVERH,STRZUSTAND,longitude,latitude,Stadtteil,Ortsteil
87,11,2016,2,2,16,3,6,4,1,0,1,0,0,0,0,1,8.852274825,53.086008941,Schwachhausen,Radio Bremen
88,11,2016,1,4,18,3,5,2,1,1,0,0,0,0,2,1,8.888109857,53.066530225,Hemelingen,Sebaldsbrück
89,11,2016,2,2,12,2,5,3,1,1,0,0,0,0,0,1,8.81735424,53.098377297,Findorff,Weidedamm
90,11,2016,1,4,14,3,5,3,1,1,0,0,0,0,0,0,8.905480416,53.050590435,Hemelingen,Hemelingen
91,11,2016,2,4,9,3,5,3,1,1,0,0,0,0,0,1,8.847364511,53.085028286,Schwachhausen,Schwachhausen
92,11,2016,2,2,18,3,5,3,1,1,0,0,0,0,0,1,8.793428594,53.073917887,Neustadt,Alte Neustadt
93,11,2016,3,3,7,3,5,3,1,1,0,0,0,0,0,0,8.828852192,53.041836089,Obervieland,Kattenturm
94,12,2016,1,3,13,3,6,7,1,0,1,0,0,0,0,0,8.584653316,53.556711339,Lehe (BHV),Goethestrasse
95,11,2016,3,4,7,3,5,3,1,1,0,0,0,0,1,1,8.80653592,53.087287949,Findorff,Findorff-Bürgerweide
96,11,2016,1,2,8,2,1,5,1,0,0,0,1,0,1,1,8.808913879,53.074163814,Mitte,Altstadt
97,11,2016,1,5,11,3,3,6,1,1,0,0,0,0,0,0,8.599300784,53.179365287,Vegesack,Fähr-Lobbendorf
98,12,2016,2,6,7,3,0,7,1,0,0,0,0,0,0,2,8.602303318,53.57202338,Lehe (BHV),Schierholz
99,12,2016,1,3,13,3,5,3,1,1,0,0,0,0,0,0,8.559991088,53.572875696,Häfen (BHV),Stadtbremisches Überseehafengebiet Bremerhaven
100,12,2016,2,6,8,3,5,3,1,0,0,1,0,0,0,2,8.6061325,53.522140298,Geestemünde,Grünhöfe
101,11,2016,1,5,13,3,5,3,1,1,0,0,0,1,0,1,8.932147474,53.040040894,Hemelingen,Mahndorf
102,11,2016,1,2,8,3,2,2,1,1,0,0,0,0,0,1,8.822840771,53.082839755,Schwachhausen,Barkhof
103,11,2016,2,3,19,3,0,3,1,1,0,0,0,0,2,1,8.864158638,53.099120124,Horn-Lehe,Lehe
104,11,2016,1,5,17,3,5,2,1,1,0,0,0,0,2,1,8.784042183,53.07556884,Woltmershausen,Woltmershausen
105,11,2016,2,3,14,2,5,3,1,0,0,0,1,0,0,0,8.729096426,53.085685483,Häfen,Neustädter Hafen
106,11,2016,2,6,13,3,0,7,1,0,0,0,0,0,0,1,8.946480002,53.049811774,Osterholz,Osterholz
107,11,2016,1,5,8,3,5,2,1,1,0,0,0,0,2,1,8.628419423,53.168588585,Vegesack,Grohn
108,11,2016,2,3,17,3,5,3,1,1,0,0,0,0,2,1,8.904453109,53.078509048,Vahr,Neue Vahr Südost
109,11,2016,3,3,17,3,5,3,1,1,0,0,0,0,0,1,8.877636687,53.08027857,Vahr,Neue Vahr Südwest
